Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Jair Bolsonaro criou o Pix,Estadão,https://www.estadao.com.br/estadao-verifica/pl-distorce-fatos-ao-alegar-que-bolsonaro-criou-o-pix-sistema-foi-desenvolvido-a-partir-de-2018/,Enganoso,2026-06-05 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcThAREsnYTqcFmEfdAFS96E6z20usj7GeESG2n1Dt_XxxRd-3aQ,"['Jair Bolsonaro', 'PIX']"
Adélio Bispo esteve na Câmara dos Deputados na data do atentado contra Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/adelio-bispo-esteve-na-camara-deputados-volta-circular/,Falso,2026-05-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRp_oQmEHdLX7bVN00WdpT_zDGh6QNJO6gYHQvpcFKzHcWULhvu,"['Adélio Bispo', 'Jair Bolsonaro', 'Câmara dos Deputados, Brasil', 'Deputado', 'Atentado contra Jair Bolsonaro']"
Jair Bolsonaro foi absolvido de todas as acusações em maio de 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.B47Q79E,Falso,2026-05-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQxhYBJ7ZtY3siynPl1NGaZNBssYC4hm9HjkL4uCdVv0uzEpABb,"['Jair Bolsonaro', '2026', 'Absolvição', 'Maio']"
Bolsonaro pede divórcio após suposto envolvimento de Michelle Bolsonaro com o banqueiro Daniel Vorcaro,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/22/falso-divorcio-jair-michelle-bolsonaro-daniel-vorcaro.ghtm?t=%7Bseek_to_second_number%7D,Falso,2026-05-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQWLBC9p0BZohpnC8e8349RLTauTrSUlOyuLc5L4JzhM9ogm2oc,"['Michelle Bolsonaro', 'Jair Bolsonaro', 'Daniel Vorcaro', 'Divórcio']"
Intercept pediu desculpas e disse não ter provas para reportagem sobre cinebiografia de Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-intercept-tenha-pedido-desculpas-por-reportagem-sobre-cinebiografia-de-bolsonaro/,Falso,2026-05-21 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCsmiqCeZNNmwXoYs2nzaNcFj0Yx7k2012CjN_EQB2uCER3ijY,"['Jair Bolsonaro', 'The Intercept', 'Reportagem', 'Biográfico']"
"""AQUI É BOLSONARO!"" Foi com essa frase, aos gritos de uma multidão em Copacabana, que Shakira teria protagonizado um dos momentos mais explosivos da história dos shows no Brasil. Enquanto a plateia ia ao delírio, bastidores ferviam com tentativas de interrupção e revolta de setores da mídia.",Observador,https://observador.pt/factchecks/fact-check-shakira-declara-apoio-a-bolsonaro-em-concerto-em-copacabana/,Errado,,,"['Shakira', 'Jair Bolsonaro', 'Copacabana', 'Espetáculo', 'Eduardo Bolsonaro', 'Brasil', 'Inteligência artificial']"
"Tema musical do filme sobre Jair Bolsonaro, está sendo uma das mais tocadas nos Estados Unidos",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/20/falso-musica-tema-filme-bolsonaro-mais-tocadas-eua.ghtm,Falso,2026-05-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSrVKX0TrHUEmFHS98yjQC8lP9VG4VDGJeYnK_Bsuc48oOsu2O0,"['Jair Bolsonaro', 'Música-tema', 'Música', 'Filme', 'Estados Unidos']"
Nunes Marques tornou Bolsonaro elegível novamente,Aos Fatos,https://www.aosfatos.org/noticias/nunes-marques-bolsonaro-elegivel/,falso,2026-05-19 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSFEny-cIwYUbTn8LCeERh4iUUid7vn9hZ9BT1Pn3vjAiquyCym,"['Nunes Marques', 'Jair Bolsonaro']"
Pesquisa barrada por Nunes Marques mostra Lula com 75% das intenções de voto,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-pesquisa-com-divulgacao-suspensa-mostrasse-lula-com-75/,Enganoso,2026-06-11 16:09:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBBTrfKM2MtNEk66v1_gU7ebcoRiqqasc0GQOmwodzWDzp3NEN,"['Luiz Inácio Lula da Silva', 'Pesquisa', 'Votação', 'Nunes Marques']"
The Intercept Brasil pediu desculpas e disse não ter provas que liguem família Bolsonaro ao caso Master,Aos Fatos,https://www.aosfatos.org/noticias/intercept-provas-vorcaro-filme-bolsonaro/,falso,2026-05-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRO_x9FzloaA8VpugjC5E80NEMKIxKcoX02dbETKdpP75oH4UqV,"['Jair Bolsonaro', 'The Intercept', 'Brasil']"
