Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Pablo Marçal gastou R$ 0,00 na campanha à Prefeitura de São Paulo",Estadão,https://www.estadao.com.br/estadao-verifica/pablo-marcal-zero-gasto-falso/,Falso,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTYlp0-m1wtUrrB9cknSc11_fJisgpO9178-J11nELDaFFnaTg-,"['Pablo Marçal', 'São Paulo', 'Alexandre Campanha de Campos', 'São Paulo']"
Fraudes no INSS financiaram campanhas eleitorais do PT,Estadão,https://www.estadao.com.br/estadao-verifica/careca-inss-financiou-campanha-pt-dilma-enganoso/,Enganoso,2025-10-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTTM2I67wLzZAazd6HZZHEmKmMOiX09TxB0MzfsC_xJNbi4qFd9,"['Instituto Nacional do Seguro Social', 'Partido dos Trabalhadores', 'INSS', 'Partido dos Trabalhadores', 'Esquema de fraudes no INSS', 'Eleição', 'Campanha eleitoral', 'Fraude']"
Flávio e Eduardo Bolsonaro pedem doações para custear processo do pai,Aos Fatos,https://www.aosfatos.org/noticias/golpistas-manipulam-videos-familia-bolsonaro-ia-campanha-arrecadacao-falsa/,falso,2025-11-28 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR66WuIHaupbCU5_9EiM3Hglkrh3egiBfV3KEtQoh5yqzZ2pVbY,"['Eduardo Bolsonaro', 'Flávio Bolsonaro', 'Doação', 'Pai']"
Marçal gastou zero reais em campanha eleitoral,Aos Fatos,https://www.aosfatos.org/noticias/falso-campanha-pablo-marcal-custo-zero/,falso,2024-10-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTPBSps5rTBrKy03SQ_UzICA4XGfv_qPZ94pJ6pGYEskfjjnSs7,"['Pablo Marçal', 'Campanha eleitoral', 'Eleição']"
Jornada da Maitê,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/11/28/falsa-campanha-ajuda-maite-golpe.htm,Falso,2025-11-28 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQjqEQVaFAvgGB-xWyZoToc7IYjHrFyLpN2z54dIPROsxTytPCQ,[]
"""Careca do INSS"" doou R$ 1 milhão para Jair Bolsonaro nas eleições de 2022",Estadão,https://www.estadao.com.br/estadao-verifica/site-do-tse-mostra-que-careca-do-inss-doou-r-1-a-campanha-de-bolsonaro-em-2022-e-nao-r-1-milhao/,Falso,2025-09-15 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTxlvddIRxnD3uroVGdwEu_8j8syVgzTPg51rdI3c2sDk0ov7Uo,"['Careca do INSS', 'Jair Bolsonaro', '2022', 'Eleição', 'Eleições presidenciais brasileiras, 2022']"
Bolsonaro não pagou o Google para a sua campanha até as contas prestadas na data de 20/10/2022,Aos Fatos,https://www.aosfatos.org/noticias/falso-bolsonaro-nao-anunciou-google/,falso,2022-10-28 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnPdltXqkJTlLllIwksVoYpunuDwmHLuIMD1LJom7nNdyhk17c,"['Jair Bolsonaro', '2022', 'Google']"
Personalidades fazem campanha em apoio a Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.79P33CR,Falso,2025-10-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRpZ8MPw5WoIP3nLREFdLxbKxa0o3xM97Y-arAMu6h5I6e_-K7L,"['Jair Bolsonaro', 'Personalidade']"
Pablo Marçal gastou zero reais com campanha à Prefeitura de São Paulo,AFP Checamos,https://checamos.afp.com/doc.afp.com.36JR3PP,Enganoso,2024-10-09 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSXwP6rUYzDCV0LQHigEjVC1xR8ILf1gnrPJaxUkga-dvdqml1a,"['Pablo Marçal', 'Real brasileiro', 'Alexandre Campanha de Campos', 'São Paulo', 'São Paulo']"
"O meu pai foi despedido da DесаthІоn após cinco anos de trabalho devido a problemas de saúde. Após o lançamento do novo modelo, retiraram os produtos antigos do [site], mas ainda existe uma hiperligação que permite obter uma mochila Тhе Nоrth Fасе - bastando para isso responder a algumas perguntas.",Observador,https://observador.pt/factchecks/fact-check-decathlon-faz-campanha-com-mochilas-a-dois-euros/,Errado,2025-04-10 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Mochila', 'Produto', 'Trabalho', 'Hiperligação', 'Saúde']"
Foto antiga mostra Bolsonaro em campanha para vereador,Aos Fatos,https://www.aosfatos.org/noticias/foto-bolsonaro-campanha-vereador/,falso,2022-05-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUcTvvhSGMYQGrqFYfXw11l37UVpQRdKimcE6EGRkmSCM1OoGC,"['Jair Bolsonaro', 'Vereador', 'Fotografia']"
Campanha de Pablo Marçal teve custo zero,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/10/08/falso-que-campanha-de-pablo-marcal-teve-custo-zero.htm,Falso,2024-10-08 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ6rcKNrY6VilkelJz00sfjSnvoz4m2Bgtd3WaBFGbthwCA1Rc,"['Pablo Marçal', 'Custo']"
Tabata Amaral teria tirado fotos sensuais que foram vazadas,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/tabata-amaral-e-alvo-de-campanha-de-desinformacao-que-a-compara-a-criadora-de-conteudo-adulto/,Falso: Publicações mentem ao compartilhar imagens manipuladas de uma criadora de conteúdo adulto e associá-las a Tabata Amaral.,2024-09-13 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTPtb6merHyhnA2BbSw5h73sHI1OnBbvxTN_11_OUJPh8Lqr7T_,['Tabata Amaral']
Reportagem de Cabrini revelou que fraude do INSS financiou campanha de Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/reportagem-da-record-nao-revelou-que-fraude-do-inss-financiou-campanha-de-bolsonaro/,falso,2025-05-23 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ6DznjXxmP7EhlZXRML0VTNOgU_S4fuMKAtovnpyrT8p1YVI-S,"['Instituto Nacional do Seguro Social', 'Jair Bolsonaro', 'INSS', 'Reportagem', 'Esquema de fraudes no INSS', 'Fraude', 'Roberto Cabrini']"
Gastos com campanha presidencial 2018. Meirelles: R$ 45 milhões; Alckmin: R$32 milhões; Haddad: R$ 29 milhões; Ciro: R$ 10 milhões; Marina: R$ 4 milhões; Bolsonaro: Wi-Fi de casa,Aos Fatos,https://www.aosfatos.org/noticias/imagem-traz-dados-falsos-sobre-gastos-de-campanhas-presidenciais-nas-eleicoes/,falso,2018-10-06 07:00:00,,"['Fernando Haddad', 'Presidente', 'Ciro Gomes', 'Jair Bolsonaro', 'Geraldo Alckmin', 'Henrique Meirelles', 'Marina Silva', 'Gasto', '2018', 'Wi-Fi']"
"Vídeo do atual presidente ucraniano, Volodymyr Zelensky, a disparar sobre dezenas de pessoas no parlamento do país.",Observador,https://observador.pt/factchecks/fact-check-video-de-zelensky-com-imagens-violentas-foi-usado-na-sua-campanha-presidencial/,Errado,2022-03-22 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRmwyRgtQB5AOIdWaxo3TmQ8QwksKz6Zcc7lC8rr_I6fGE9p6q,"['Volodymyr Zelensky', 'Ucrânia', 'Presidente', 'Vídeo', 'País', 'Parlamento']"
