Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Vídeo mostra mensagem de Fujimori para Petro após eleições de 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.B6W27ZR,Enganoso,2026-06-12 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSsH_hXF3y7LUqa4O52Mih0BzOKgoQ10SHwZg3qrnDdT-fAxr9R,"['Gustavo Petro', 'Eleição', 'Alberto Fujimori', 'Mensagem', '2026', 'Vídeo']"
Sites de previsão são usados como pesquisa eleitoral,AFP Checamos,https://checamos.afp.com/doc.afp.com.B6NL7NR,Enganoso,2026-06-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSY3GjerMj6iBXngwYZwFf4Sg2MQFW5bfbESbpd3-7XL7IH22Ur,"['Eleição', 'Previsão do tempo', 'Pesquisa']"
Pesquisa mostra Iván Cepeda ganhando eleição no primeiro turno na Colômbia,AFP Checamos,https://checamos.afp.com/doc.afp.com.B4EV8CQ,Falso,2026-05-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQH0omFcw5niUDNRgcFqq3Yev5Ma0pfvW5yEYRWdpWFVC0nuxjP,"['Ivan Cepeda', 'Eleição', 'Colômbia', 'Pesquisa']"
"""URGENTE - Flávio Bolsonaro vai acabar com o Bolsa Família de R$ 600,00 e poderá retornar com Auxílio Brasil de R$ 1.200,00 para famílias carentes caso seja eleito Presidente do Brasil""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/28/falso-flavio-bolsonaro-promessa-bolsa-familia-troca-auxilio-brasil.ghtm,Falso,2026-05-28 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTP2Dg-LNUDKLpsV0vk3Y4q4wFpGYTH6rwLUn9pTzh74n7OZlkb,"['Flávio Bolsonaro', 'Bolsa Família', 'Auxílio Brasil', 'Presidente do Brasil', 'Presidente', 'Eleição', 'Brasil']"
"BOMBA EXPLODE AGORA! PF ABRE CÓDIGO FONTE! LULA TEVE SÓ 36,32%",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/06/09/pf-nao-descobriu-que-lula-perdeu-a-eleicao-em-2022.ghtm,Falso,2026-06-09 17:41:12,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSMy-bEljcg1BiUsJMOhmb2hCQMIjwBajeWlt3-cBqx9ZOQR6L8,"['Luiz Inácio Lula da Silva', 'Polícia Federal', 'Departamento de Polícia Federal', 'Código-fonte']"
Alexandre Frota denuncia plano de bolsonaristas para atacar igrejas e culpar o PT antes das eleições,Estadão,https://www.estadao.com.br/estadao-verifica/declaracao-alexandre-frota-bolsonaristas-prejudicar-lula-falso/,Falso,2026-05-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQbs0xfUX3RSZ05mOTSJG5cYhijGLxmE_0HlJTtcIgD8opA3Xoq,"['Bolsonarismo', 'Partido dos Trabalhadores', 'Eleição', 'Alexandre Frota', 'Partido dos Trabalhadores']"
Decisão do TSE de manter direito de voto a presos na eleição de 2026 é golpe,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/06/video-engana-decisao-tse-presos-provisorios.ghtm,Distorcido,2026-05-06 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqs18rtAPiiGFjj1_gE8gx9P_201g1v4-lsqHKPr67C40Zutal,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição', 'Direito']"
Flávio prometeu “auxílio sacolão de ossos” caso seja eleito,Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-auxilio-sacolao-osso/,falso,2026-05-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR1s52V4Ep1YrRUuyTotVzDtoeRgnNZ1tgH2LZ80517rVW1ntV1,"['Flávio Bolsonaro', 'Osso', 'Eleição']"
Uma tentativa de golpe está em andamento porque o TSE adiou para as eleições seguintes a proibição de voto entre presos provisórios.,Estadão,https://www.estadao.com.br/estadao-verifica/video-omite-decisao-tse-voto-presos-provisorios-principio-constitucional/,Enganoso,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRuCaOK8ilIQ2aDzso0JZbhfEhjNvP85pPl4E17eu7IMb4ZU0TS,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição', 'Tentativa de golpe de Estado no Brasil em 2022–2023']"
Maduro implica Obama em investigação de fraude eleitoral e tráfico de drogas,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/29/falso-maduro-obama-fraude-eleitoral.ghtm,Falso,2026-04-29 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS5BHa0hfEWoztI0TpIW40CC00Rj5_r6CBEiEV49GbJfE_uqgGr,"['Nicolás Maduro', 'Fraude eleitoral', 'Barack Obama', 'Fraude', 'Eleição', 'Narcotráfico', 'Droga', 'Pesquisa']"
"Lula diz: ""Eu só ganhei as eleições porque o povo nordestino é analfabeto""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/29/lula-nao-disse-que-so-ganhou-eleicao-porque-nordestino-e-analfabeto.ghtm,Distorcido,2026-04-29 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-fFc4H17EIThRENzw6iCWCytkVRqnUYN36IzxMW_o9z00qo1c,"['Luiz Inácio Lula da Silva', 'Eleição']"
A polícia achou os eleitores do Flavio Rachadinha e da Nikole!!!,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/24/falso-video-fazenda-likes-flavio-bolsonaro-nikolas-ferreira-ia.ghtm,Falso,2026-04-24 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-SA5XqTGVLlCep7zm5VeunKaMKoILDdiAWP3dCgUzLZkGltvK,"['Flávio Bolsonaro', 'Eleição', 'Desvio de salário de assessor', 'Polícia']"
"Flávio Bolsonaro disse que vai revogar o fim da escala 6x1, caso seja eleito",Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-escala-6x1/,falso,2026-04-24 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT_Igkmt3qy5cVJqW9bPq2E4sBb68OxurTKMY-Vo6Zp1VqOSjK8,"['Flávio Bolsonaro', 'Eleição']"
Maduro implica Obama em investigação de fraude eleitoral e tráfico de drogas,Estadão,https://www.estadao.com.br/estadao-verifica/maduro-obama-fraude-eleitoral-falso/,Falso,2026-04-24 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS2FVxGXXZHpjoxi3xwvZgvkkmzXA63VUnAF2m8Qr-NW3HzCbRn,"['Nicolás Maduro', 'Fraude eleitoral', 'Barack Obama', 'Fraude', 'Eleição', 'Pesquisa', 'Narcotráfico', 'Droga']"
Lula pede ao TSE para barrar vídeos na internet durante as eleições,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/14/falso-lula-pediu-tse-proibir-videos-na-internet-eleicoes.ghtm,Falso,2026-04-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQCXBuQAytX9w-fbuG15-B1OXBEB-NgMoij_kOAov60qI4OduTr,"['Luiz Inácio Lula da Silva', 'Tribunal Superior Eleitoral', 'Eleição', 'Vídeo', 'Internet']"
