Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula tinha 75% das intenções de voto na pesquisa barrada por Nunes Marques,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/06/12/lula-nao-teve-75-de-intencoes-de-voto-em-pesquisa-suspensa-pelo-tse.ghtm,Falso,2026-06-12 20:18:17,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQg3gyEAarD2abEfXSSnJ2IsiIULMHfinrpWXFHoBR2WT-8GDrX,"['Nunes Marques', 'Luiz Inácio Lula da Silva', 'Votação', 'Pesquisa', 'Intenção']"
Ponte que desabou no Acre foi construída do governo Lula,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/06/12/governo-lula-nao-participou-da-construcao-de-ponte-que-desabou-no-ac.ghtm,Falso,2026-06-12 19:20:31,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ57gn8ySPsPzO1gn6FfDaVFmIvaO0B8BXNMIiDRqrC0Xa62LfM,"['Luiz Inácio Lula da Silva', 'Acre', 'Ponte', 'Governo']"
Pesquisa barrada por Nunes Marques mostrava Lula com 75% dos votos,AFP Checamos,https://checamos.afp.com/doc.afp.com.B6TN663,Falso,2026-06-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRNuCPgKe7T2rxSMPxvTtKljogb4Jf0sztWoFF29i9wo2a4TO4H,"['Nunes Marques', 'Luiz Inácio Lula da Silva', 'Votação', 'Pesquisa']"
Pesquisa barrada por Nunes Marques mostra Lula com 75% das intenções de voto,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-pesquisa-com-divulgacao-suspensa-mostrasse-lula-com-75/,Enganoso,2026-06-11 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQoj3b0efSmnAKYbp0b2XB7OKE1ZWAtF2MuhaXC4L6xZdvuiDPU,"['Luiz Inácio Lula da Silva', 'Votação', 'Pesquisa', 'Nunes Marques']"
Empresa que ganhou licitação bilionária no RJ é de marido da neta do Lula,Aos Fatos,https://www.aosfatos.org/noticias/marido-neta-lula-nao-ganhou-licitacao-bilionaria-rj/,falso,2026-06-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqQd5NG5lkge4-fs1Ag4MbCJeKXCRWiKpGCgdv4DEAoWGlCkXS,"['Luiz Inácio Lula da Silva', 'Licitações públicas', 'Rio de Janeiro', 'Bilionário', 'Empresa']"
Trump decreta Magnitsky contra Lula e Moraes,AFP Checamos,https://checamos.afp.com/doc.afp.com.B6NK2WE,Falso,2026-06-10 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRCisMlZsCxljq5S5vuLZDJq8RljkV-6FYTCkHTEf0uVe_Bpzle,"['Donald Trump', 'Alexandre de Moraes', 'Luiz Inácio Lula da Silva', 'Lei Magnitsky', 'Decreto']"
Trump deporta diplomatas petistas dos EUA e Lula se revolta. Tensão internacional aumenta,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/06/10/falso-eua-trump-deportacao-diplomatas-brasileiros.amp.htm,Falso,2026-06-10 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcThEoqko5y1XZfqfp25MUe-Qsv0_5NjwbJIDjUUG_0YFqslAecO,"['Donald Trump', 'Estados Unidos', 'Diplomacia', 'Luiz Inácio Lula da Silva', 'Deportação']"
Queda de ponte no Acre: mais uma ponte no governo Lula desaba,AFP Checamos,https://checamos.afp.com/doc.afp.com.B6NG9WF,Enganoso,2026-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBMsTDkqZV54cNBFhLT54rtzWehVIGMqbHZLdk-S2Sr0mZY0kk,"['Luiz Inácio Lula da Silva', 'Acre', 'Governo']"
Lula aparecia com 75% em pesquisa suspensa por Nunes Marques,Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-suspensa-nunes-marques-nao-mostra-lula-75-intencoes-voto/,falso,2026-06-10 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTICJplaNrvHOZhfpSLMLXjAiddLJQTsSbXCsEG5MCvACTmSqtw,"['Nunes Marques', 'Luiz Inácio Lula da Silva', 'Pesquisa']"
"BOMBA EXPLODE AGORA! PF ABRE CÓDIGO FONTE! LULA TEVE SÓ 36,32%",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/06/09/pf-nao-descobriu-que-lula-perdeu-a-eleicao-em-2022.amp.htm,Falso,2026-06-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ4sTMvqWVTXJdEQdJd-AuA0er4v6kB-R8SMEzqECkZ0rnefoJJ,"['Luiz Inácio Lula da Silva', 'Polícia Federal', 'Departamento de Polícia Federal', 'Código-fonte']"
