Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Flávio Bolsonaro agradece a Trump por taxar o Brasil.,Estadão,https://www.estadao.com.br/estadao-verifica/pt-enganoso-flavio-agradece-trump-taxas-brasil/,Enganoso,2026-06-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSyNQnZYJTMVbVxya2_YCwI61lIjBCVJEYXe3D0VxMt-E7HfEnP,"['Flávio Bolsonaro', 'Donald Trump', 'Brasil', 'Taxa']"
Grupo de assessores do PT ganhou prêmio de R$ 120 milhões na Mega da Virada de 2025,Estadão,https://www.estadao.com.br/estadao-verifica/assessores-pt-mega-sena-120-milhoes-2019-enganoso/,Enganoso,2026-01-07 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZoXmZ1089EHlPxKy5EqD9TD1eSPiP4Rg6Dljeil0nNBMqBr5n,"['Mega-Sena', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', '2025']"
Grupo de assessores do PT ganhou R$ 120 milhões na Mega da Virada 2025,Aos Fatos,https://www.aosfatos.org/noticias/grupo-de-assessores-do-pt-nao-ganhou-premio-de-r-120-milhoes-na-ultima-mega-da-virada/,falso,2026-01-02 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg6447TjpoQhC24HK6jIlUdmNO9ra-Kr5BvG3SPuuKPNvRmxez,"['Mega-Sena', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', '2025']"
Polícia Federal apreendeu malas de dinheiro em sede do PT na Bahia,Aos Fatos,https://www.aosfatos.org/noticias/pf-malas-dinheiro-vorcaro-pt/,falso,2026-05-29 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRLhG99GL9p9vJlMNjd-eMkZaTGqZQn7QsifHhr9iLy4mixg9GA,"['Polícia Federal', 'Departamento de Polícia Federal', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Dinheiro', 'Mala', 'Bahia', 'Polícia']"
Lula afirma que está proibido criticar o presidente,Aos Fatos,https://www.aosfatos.org/noticias/falso-lula-pt-proibido-fazer-criticas/,falso,2023-07-03 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRXLIYgmti4rjq_hBhgttwld_MXW5OemMkmj26eKozT5nCxNGr5,"['Luiz Inácio Lula da Silva', 'Presidente', 'Crítica']"
PT comprou filiados com R$ 100 na quadra da Unidos da Vila Kennedy,Estadão,https://www.estadao.com.br/estadao-verifica/video-escola-de-samba-eleicoes-internas-compra-de-filiados-enganoso/,Enganoso,2025-07-24 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT2KRxIC6Nn7JkLv5PKkY8tXvUCYIs6lWOZNIpOC0ssRYxod5sb,"['Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Filiação', 'Unidos da Vila Kennedy', 'Vila Kennedy']"
PT elegeu apenas 46 prefeitos na eleição municipal de 2024,Aos Fatos,https://www.aosfatos.org/noticias/pt-elegeu-248-prefeitos-nao-46/,falso,2024-10-07 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQcalsqhjxXoFbqicTl_a-S_TL1L74T2Zb4BUbcMbf-AVwJVoZS,"['Eleição', 'Partido dos Trabalhadores', 'Prefeito', 'Partido dos Trabalhadores', 'Eleições municipais no Brasil em 2024', '2024', 'Eleição municipal']"
Deputado do PT afirma que governo não tem dinheiro para manter o básico,Aos Fatos,https://www.aosfatos.org/noticias/lindbergh-nao-disse-governo-esta-sem-dinheiro/,falso,2024-07-11 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSHVG4ohdTy0TU_1iOKD2V-FB2V1S2QC6GRqRHxWsNoewUjhjro,"['Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Deputado', 'Governo', 'Dinheiro']"
Ex-presidente Lula diz que PT é uma organização criminosa,Aos Fatos,https://www.aosfatos.org/noticias/lula-nao-disse-que-pt-e-organizacao-criminosa-video-traz-falas-editadas-e-fora-de-contexto/,falso,2021-08-24 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpWwEocnnkkG_uhPqrBcsPlIQdKUStQS15Xj0UliokCLankQXa,"['Luiz Inácio Lula da Silva', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Crime organizado', 'Presidente', 'Organização', 'Criminoso']"
PT votou contra Auxílio Brasil,Aos Fatos,https://www.aosfatos.org/noticias/falso-pt-votou-contra-auxilio-brasil-congresso/,falso,2022-10-21 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSQhpmnC8d_9RxgtYbdw2FCW-i_lEZVMB2RNLYp55i2LQrfCRIm,"['Auxílio Brasil', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores']"
Plano de governo petista prevê nova Constituição e descriminalização das drogas,Aos Fatos,https://www.aosfatos.org/noticias/pt-nao-propos-em-2022-criar-assembleia-constituinte-e-descriminalizar-drogas/,falso,2022-10-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS08DeBlKuGHx8dbskefSDX35Th4FJFtExfAUce_wgXt-c1IIpC,"['programa de governo', 'Constituição', 'Governo', 'Descriminalização', 'Droga']"
PT entrou com ação no TSE para cassar os mandatos de todos os deputados do PL,Aos Fatos,https://www.aosfatos.org/noticias/falso-pt-pediu-cassacao-deputados-pl/,falso,2023-06-01 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSdJyvkb-jOOaSz5kJxE8JXVws-N2MqPbD-lxaGLwtYh9DvRbud,"['Cassação de direitos políticos', 'Partido dos Trabalhadores', 'Deputado', 'Partido dos Trabalhadores', 'Tribunal Superior Eleitoral', 'Partido Liberal', 'Mandato']"
Empresa contratada pelo TSE para apuração dos votos tem ligação com o PT,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-empresa-contratada-pelo-tse-tem-ligacao-com-o-pt/,falso,2018-10-27 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZraIaLkkh3d1guYUHSdArqKbXCDKubrnxSsfgtaMnfJQ9Tq0L,"['Partido dos Trabalhadores', 'Tribunal Superior Eleitoral', 'Partido dos Trabalhadores', 'Votação', 'Empresa']"
Vídeo mostra manifestação do PT a favor do aumento do IOF,Aos Fatos,https://www.aosfatos.org/noticias/video-mostra-torcida-de-time-marroquino-nao-protesto-do-pt-a-favor-do-aumento-do-iof/,falso,2025-07-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQhd4A8qtoOcV_fOvwIFqFYHcpIrvdeN9Ex8bnAnMgO_y67cRF2,"['Imposto sobre Operações Financeiras', 'Manifestação', 'Vídeo']"
PT derrubou medida contra fraudes no INSS em 2022,Aos Fatos,https://www.aosfatos.org/noticias/todos-os-partidos-votaram-para-derrubar-medida-contra-fraudes-inss-nao-so-pt/,não_é_bem_assim,2025-05-16 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLfCs2Qxm4yWas6XSjTz9GD2gHdaSh7cVMyyBBUV2didGlajkD,"['Instituto Nacional do Seguro Social', 'INSS', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Esquema de fraudes no INSS', 'Fraude', '2022']"
TSE admite que o PCC tem sim uma ligação com o PT de Lula,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/tse-nao-admitiu-ligacao-entre-pt-e-pcc-diferentemente-do-que-sugere-video/,ENGANOSO: Não houve juízo de valor na decisão do Tribunal que negou exclusão de postagens de Bolsonaro com a acusação,2022-08-26 07:00:00,,"['Partido dos Trabalhadores', 'Primeiro Comando da Capital', 'Partido dos Trabalhadores', 'Tribunal Superior Eleitoral', 'Luiz Inácio Lula da Silva']"
TSE admite que PT tem ligação com PCC,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-tse-admitiu-ligacao-entre-pt-e-pcc/,falso,2022-08-23 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSswiQZPsmDeQ9yTYcHBtOAw2TyAbnitJkP9k5lbfaf1QilgfcE,"['Partido dos Trabalhadores', 'Primeiro Comando da Capital', 'Partido dos Trabalhadores', 'Tribunal Superior Eleitoral']"
"O PT assinou a constituição de 88? O pessoal faz uma ronda agora sobre carta à democracia para tentar atingir a mim, mas a bancada toda do PT não assinou essa carta à democracia em 88",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/08/11/pt-assinou-constituicao-de-1988-ao-contrario-do-que-diz-bolsonaro.htm,Falso,2022-08-11 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSTXbkPwzBzBGNkDQTyl__Vj5Dw3aXfOfqoLow2cRCTwBWKFmxO,"['Partido dos Trabalhadores', 'Constituição', 'Partido dos Trabalhadores', 'Democracia', 'Carta']"
"CONFISCO DE BENS E DO SEU DINHEIRO, A MORADIA SOCIAL E A POUPANÇA FRATERNA, QUE PREVEEM COMPARTILHAR SUA RENDA E POUPANÇA E BENS PATRIMONIAIS, DURANTE 7 ANOS… OLHA A MERDA !!!",Aos Fatos,https://www.aosfatos.org/noticias/plano-de-governo-petista-nao-quer-confiscar-seus-bens-ou-entregar-quartos-de-sua-casa-para-desconhecidos/,falso,2018-10-09 07:00:00,,"['Confiscação', 'Casa', 'Habitação social', 'Dinheiro', 'Poupança', 'Renda', 'Bem']"
Coronel admite que PT mandou abrir Esplanada no dia 8 de janeiro,Estadão,https://www.estadao.com.br/estadao-verifica/coronel-nao-disse-que-pt-mandou-reabrir-esplanada-no-dia-8-de-janeiro/,Enganoso,2023-06-15 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQLloVmJrmPIOiDKHB2hviVad8zqX3kXOYkUxxRJjBQhFvfSKzX,"['Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Janeiro', 'Coronel', 'Dia', 'Ataques de 8 de janeiro em Brasília']"
PT está pedindo para fechar Jovem Pan,Aos Fatos,https://www.aosfatos.org/noticias/falso-pt-pediu-para-fechar-jovem-pan/,falso,2022-10-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTUjATHBehRJmPd0mgUDBGD5dhTJp4mcpmAjOc9NhvmMM_WkjHU,"['Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Jovem Pan']"
CNN admite derrota do PT,AFP Checamos,https://checamos.afp.com/doc.afp.com.32K98EL,Enganoso,2022-09-27 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2D6P8Y54Y11sUdLOi6t6sjsnHEPsN9U55jR7mNtVbV8NGwsGw,"['Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'CNN Brasil']"
Matéria do G1 diz que PT estabeleceu cronograma para recolhimento de armas de fogo registradas,Aos Fatos,https://www.aosfatos.org/noticias/g1-pt-cronograma-recolher-armas/,falso,2022-02-23 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5elh0qg5qau-RqFLLr5mol2k_OqIFktLMdSvGHnhWNiEGjBKF,"['Arma de fogo', 'Arma', 'Partido dos Trabalhadores', 'g1', 'Partido dos Trabalhadores', 'Fogo', 'Matéria', 'Armas de fogo registradas']"
Eliane Cantanhêde critica o PT sem saber que estava sendo gravada,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-video-em-que-eliane-cantanhede-critica-pt-foi-gravado-por-acidente/,falso,2022-01-12 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ8-9ZJJ-qxFukRpMK468iE-yMnRq2KO_drNIqo8tJI0l_ozZ5n,['Eliane Cantanhêde']
O PT propôs a diminuição da idade para estupro de vulnerável no Código Civil,Aos Fatos,https://www.aosfatos.org/noticias/falso-pt-propos-diminuir-idade-estupro-de-vulneravel/,falso,2022-10-21 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNxmPti4IBKQXpDzEEg1sIxh8JyYHdMu0X89LyDSLiT_y4geXp,"['Estupro de vulnerável', 'Estupro', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Código civil', 'Direito civil']"
"PT defende estatização da Canção Nova, TV Aparecida e outras emissoras religiosas",Aos Fatos,https://www.aosfatos.org/noticias/pt-nao-defende-estatizar-radios-e-emissoras-de-tv-religiosas/,falso,2018-08-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTEgxC-YHOrRYxzqtw2hilhdKQ-5wJYyJkXcM_FIBWIBT5J_6zF,"['Religião', 'Nacionalização', 'TV Aparecida']"
"Lula esperava por agenda de Marcola, do PCC, para almoçarem juntos",Aos Fatos,https://www.aosfatos.org/noticias/lula-marcola-discurso-assessor-do-pt-nao-lider-do-pcc/,falso,2022-10-20 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQ5iRXotV4H6Pq4-wV_QJIzVRAgKUoy8vG9EAyoIaKZwxvUNAN,"['Luiz Inácio Lula da Silva', 'Marcola', 'Primeiro Comando da Capital']"
[O Brasil foi o último] a dar voto para mulher.,Aos Fatos,https://www.aosfatos.org/noticias/lula-flow-podcast-checamos/,falso,2022-10-18 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRBvQhUGbnHpvO-qbaZWGl-SGsfIdM91rMiPe0bcXUNA3HEox8S,"['Votação', 'Brasil', 'Mulher']"
"Aplicativo Pardal, da Justiça Eleitoral, proíbe denúncias contra o PT",Aos Fatos,https://www.aosfatos.org/noticias/pardal-tse-nao-impede-denuncias-contra-pt/,falso,2022-10-28 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFai013XUuDsqg7nNt2cjxh_G8Gf26V27h2FHhqenJq0nzT8xy,"['Tribunal Superior Eleitoral', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Eleição', 'Denúncia']"
