Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula tinha 75% das intenções de voto na pesquisa barrada por Nunes Marques,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/06/12/lula-nao-teve-75-de-intencoes-de-voto-em-pesquisa-suspensa-pelo-tse.ghtm,Falso,2026-06-12 20:18:17,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQg3gyEAarD2abEfXSSnJ2IsiIULMHfinrpWXFHoBR2WT-8GDrX,"['Nunes Marques', 'Luiz Inácio Lula da Silva', 'Votação', 'Pesquisa', 'Intenção']"
Pesquisa barrada por Nunes Marques mostrava Lula com 75% dos votos,AFP Checamos,https://checamos.afp.com/doc.afp.com.B6TN663,Falso,2026-06-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRNuCPgKe7T2rxSMPxvTtKljogb4Jf0sztWoFF29i9wo2a4TO4H,"['Nunes Marques', 'Luiz Inácio Lula da Silva', 'Votação', 'Pesquisa']"
Pesquisa barrada por Nunes Marques mostra Lula com 75% das intenções de voto,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-pesquisa-com-divulgacao-suspensa-mostrasse-lula-com-75/,Enganoso,2026-06-11 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQoj3b0efSmnAKYbp0b2XB7OKE1ZWAtF2MuhaXC4L6xZdvuiDPU,"['Luiz Inácio Lula da Silva', 'Votação', 'Pesquisa', 'Nunes Marques']"
"PF descobriu que Lula só teve 36,32% dos votos em 2022",Aos Fatos,https://www.aosfatos.org/noticias/pf-policia-federal-lula-votos-2022-urna/,falso,2026-06-03 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9CMvGLYSMYCH3aBl8oCLGtzCBFeH9NDeQkCqoLBgxwTwIZdKm,"['Luiz Inácio Lula da Silva', 'Departamento de Polícia Federal', 'Polícia Federal', 'Votação', '2022']"
Lula aparecia com 75% em pesquisa suspensa por Nunes Marques,Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-suspensa-nunes-marques-nao-mostra-lula-75-intencoes-voto/,falso,2026-06-10 17:01:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTICJplaNrvHOZhfpSLMLXjAiddLJQTsSbXCsEG5MCvACTmSqtw,"['Nunes Marques', 'Luiz Inácio Lula da Silva', 'Pesquisa']"
Decisão do TSE de manter direito de voto a presos na eleição de 2026 é golpe,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/06/video-engana-decisao-tse-presos-provisorios.ghtm,Distorcido,2026-05-06 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqs18rtAPiiGFjj1_gE8gx9P_201g1v4-lsqHKPr67C40Zutal,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição', 'Direito']"
Jorge Messias chorou após votação no Senado que o rejeitou para o STF,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/04/e-ia-imagem-de-messias-chorando-apos-ser-rejeitado-para-o-stf.ghtm,Falso,2026-05-04 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTjoPGOClLd68gz2N8mc11brQd4YckeIFUlKUuStmuGoWXgKDd8,"['Jorge Messias', 'Supremo Tribunal Federal', 'Senado Federal do Brasil', 'Votação']"
Uma tentativa de golpe está em andamento porque o TSE adiou para as eleições seguintes a proibição de voto entre presos provisórios.,Estadão,https://www.estadao.com.br/estadao-verifica/video-omite-decisao-tse-voto-presos-provisorios-principio-constitucional/,Enganoso,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRuCaOK8ilIQ2aDzso0JZbhfEhjNvP85pPl4E17eu7IMb4ZU0TS,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição', 'Tentativa de golpe de Estado no Brasil em 2022–2023']"
"Nós não podemos cair nessas narrativas falaciosas e mentirosas, dizendo que nós temos que esperar quarenta sessões pra poder votar essa matéria.",AletheiaFact.org,https://aletheiafact.org/personality/erika-hilton/claim/erika-hilton-afirma-que-nao-e-necessario-esperar-40-sessoes-para-votacao-da-pec-da-escala-6x1/sentence/5c98f80cbb49463c340d305677e01a84,"Confiável, mas",,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQr2fbmj-q6FopDT6cuEsTaV45GytXHfIJs-6DkmomDLB48PEiS,"['Votação', 'Erika Hilton', 'Poder', 'Narração', 'Matéria']"
Haddad ganhará no primeiro turno em SP segundo a pesquisa AtlasIntel,AFP Checamos,https://checamos.afp.com/doc.afp.com.A83P9ZQ,Enganoso,2026-04-16 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7zd6N0Y8zAZaa4LPN9shvavdsW0jPd1j1e0ktLwwwNS2pKW2B,"['Fernando Haddad', 'São Paulo', 'AtlasIntel', 'Pesquisa', 'São Paulo']"
"""Maçonaria apela ao voto em António José Seguro""",Observador,https://observador.pt/factchecks/fact-check-noticia-sobre-apoio-da-maconaria-a-antonio-jose-seguro-e-verdadeira/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['António José Seguro', 'Maçonaria', 'Votação']"
"Caras de Passos, Ronaldo, Herman, Lili Caneças e Jorge Jesus com o slogan: ""Eu voto Ventura""",Observador,https://observador.pt/factchecks/fact-check-passos-ronaldo-herman-jose-e-lili-canecas-anunciaram-voto-em-andre-ventura/,Errado,2026-01-26 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQOv_Mheo-5LPg4qYWWsymKcqVbeLWVUBH6sgQDSOE1unX2YU8W,"['André Ventura', 'Votação', 'Herman José', 'Lili Caneças', 'Cristiano Ronaldo', 'Jorge Jesus', 'Caras', 'Slogan']"
Mulher que mora nos EUA descobriu registro de voto nas eleições de 2022 no Brasil,Estadão,https://www.estadao.com.br/estadao-verifica/mulher-que-mora-nos-eua-tem-registro-de-voto-em-2022-enganoso/,Enganoso,2026-01-13 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRGEBg2exVNS_Fu-E0xdXJWFsG4DecClLCA6lBA5-JS0GRk8QlV,"['Votação', 'Eleição', 'Estados Unidos', 'Eleições presidenciais brasileiras, 2022', '2022', 'Brasil', 'Eleições gerais brasileiras, 2022']"
"Eleitora diz que votaram em seu lugar nas eleições de 2022, quando estava fora do país.",Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-tse-contabilizou-voto-eleitora-ausente-2022/,falso,2026-01-16 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQioBcwD_3vB-l3eQK_KR5uOUWMfqS02YqWfMpwi-p3pFruXL7a,"['Eleitor', 'Eleição', '2022', 'Eleições presidenciais brasileiras, 2022']"
Lula perdeu todas as eleições feitas com cédulas de papel e venceu todas após as urnas eletrônicas,Aos Fatos,https://www.aosfatos.org/noticias/falso-que-lula-so-venceu-eleicoes-apos-urnas-eletronicas/,falso,2025-12-09 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMqvkbCelzWH_k0RWEMK4QMuwBldzU_G770BIvNtxwbc-A5cET,"['Luiz Inácio Lula da Silva', 'Urna eletrônica', 'Eleição', 'Urna eleitoral', 'Urna eletrônica', 'Cédula eleitoral', 'Papel']"
Fux acaba de votar para inocentar Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/10/30/falso-video-nikolas-ferreira-voto-fux-libertacao-bolsonaro.htm,Falso,2025-10-30 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTY-s6Vd7IKir51-ouPoOCIRUDhwo1z4Yry68ONcLbp82tauez,"['Jair Bolsonaro', 'Luiz Fux', 'Votação']"
Voto de Fux remete processo de Bolsonaro para a primeira instância,Aos Fatos,https://www.aosfatos.org/noticias/voto-de-fux-nao-remeteu-processo-de-bolsonaro-a-primeira-instancia/,falso,2025-09-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTmMvzTnXZGPhP_GRSeQxuvu9I-JWEt3iDE4WrCNhKgM0x5Reo9,"['Jair Bolsonaro', 'Luiz Fux', 'Primeira instância', 'Processo judicial', 'Votação']"
Ministra Cármen Lúcia proferiu voto a favor de Bolsonaro em julgamento,Aos Fatos,https://www.aosfatos.org/noticias/video-nao-mostra-voto-de-carmen-lucia-que-beneficia-bolsonaro/,falso,2025-09-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSh_4fml1SvZ4d0Y6DbbhRthnoxkonrbMJZt3merFHwY1jz9FuJ,"['Cármen Lúcia Antunes Rocha', 'Jair Bolsonaro', 'Ministro', 'Votação', 'Sentença']"
Nos falta a possibilidade de auditar se o voto computado e totalizado eletronicamente corresponde materialmente ao voto impresso,Aos Fatos,https://www.aosfatos.org/noticias/relatorio-novo-codigo-eleitoral-usa-desinformacao-justificar-voto-impresso/,falso,2025-08-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTjp31mOKOEh0NBcm_m8RBROcofAPv6gq1zQK98pElN3LExhMUf,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Auditoria']"
Fux detona Moraes,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/09/12/fux-nao-disse-que-colegas-perseguem-bolsonaro-durante-voto-no-julgamento.htm,Falso,2025-09-12 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQrEWMI95m3yND3I-x72rXM5_mYX6HI5xhT7Qh38TceFkgZUXZj,"['Luiz Fux', 'Alexandre de Moraes']"
Barroso pagou 9 milhões para cada líder e vice-líder partidário para que trocassem os deputados que votariam a favor do voto impresso por políticos que eram contrários.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/08/13/e-falso-que-barroso-pagou-para-deputados-votarem-contra-voto-impresso.htm,Falso,2025-08-13 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSi0rEHu1PM_OFpTboM0KZsRGLtK0NX8hdofj81tJpeoHacqHft,"['Luís Roberto Barroso', 'Comprovante de votação verificado pelo eleitor', 'Votação', 'Deputado', 'Político', 'Liderança', 'Líder de partido']"
"Barroso pagou R$ 9 milhões a partidos para derrubar a PEC do Voto Impresso, comprou microchips de Taiwan com milhões de votos para Lula e destruiu cerca de 200 mil urnas que escondiam provas da fraude eleitoral de 2022",Aos Fatos,https://www.aosfatos.org/noticias/video-mentiras-atuacao-barroso-tse-alegar-fraude-em-2022/,falso,2025-08-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_cIH6r_9H_m8HTmsB6XuCIlxl1U9qbR9SmXV9G4YICdFB88hS,"['Luís Roberto Barroso', 'Fraude', 'Votação', 'Eleição', 'Urna eleitoral', 'Luiz Inácio Lula da Silva', 'Fraude eleitoral', 'Comprovante de votação verificado pelo eleitor', 'Partido político']"
Nikolas Ferreira votou contra vetos de Lula e a favor de aumento na conta de luz.,Aos Fatos,https://www.aosfatos.org/noticias/nikolas-ferreira-nao-votou-para-derrubar-veto-de-lula-e-deixar-luz-mais-cara/,falso,2025-06-23 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRZ5-BK9n3SL3tMlqDXXpznxdAN5Ln7JcEJlAbmm2726t_95PDO,"['Nikolas Ferreira', 'Veto', 'Luiz Inácio Lula da Silva']"
"Na Dinamarca, toda pessoa que recebe algum tipo de ajuda social está inabilitada para votar",AFP Checamos,https://checamos.afp.com/doc.afp.com.43X399E,Falso,2025-04-29 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQT6hwjP97M66QUC_cWIlJTWeRn87vnYD5iBnS91irmoO64Mehj,"['Dinamarca', 'Votação']"
Dinamarca proíbe voto de quem recebe benefícios sociais,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/cidadaos-que-recebem-beneficios-sociais-tem-direito-a-voto-na-dinamarca-diferentemente-do-que-alega-post/,"Enganoso: Post viral que afirma o contrário se baseia em legislação antiga do país europeu, conhecida como “Ajuda aos Pobres”. O dispositivo foi anulado em 1961.",2025-04-24 07:00:00,,"['Dinamarca', 'Votação']"
"Na Dinamarca, toda pessoa que recebe algum tipo de ajuda social está inabilitada para votar.",UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/04/24/beneficiarios-de-auxilio-social-tem-direito-ao-voto-na-dinamarca.htm,Falso,2025-04-24 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPxjwe5AtR_upJm5VQmw-z8YY7heXoVI_0LOm68Kty6bYPXcdS,"['Dinamarca', 'Votação']"
Smartmatic foi responsável por urnas eletrônicas de 2022 e contagem de votos,AFP Checamos,https://checamos.afp.com/doc.afp.com.36YQ723,Enganoso,2025-02-26 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ-tHAOZ4FR9UISvLKsa785WCrI20WHF7_dNUPmHjI4eGTCSCo3,"['Smartmatic', 'Urna eleitoral', 'Urna eletrônica', 'Votação', '2022']"
"A Smartmatic, empresa acusada de fraude eleitoral que atuou nas eleições brasileiras de 2022, responsável pelas urnas eletrônicas e pela contagem dos votos, recebeu financiamento da USAID",Aos Fatos,https://www.aosfatos.org/noticias/falso-smartmatic-eleicoes-2022-brasil-dinheiro-usaid/,falso,2025-02-07 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhtSvgWq0KD0lDra9iVuozCaPAq8VapOqQbtmxQqhg_RsZNf5D,"['Smartmatic', 'Eleição', 'Agência dos Estados Unidos para o Desenvolvimento Internacional', 'Fraude eleitoral', 'Votação']"
Lula pede votos para Bolsonaro em 2026,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-satirico-de-lula-pedindo-votos-para-bolsonaro-em-2026-foi-gerado-por-ia/,"Sátira: Além de exibir marca d'água da Infinity AI, rosto de Lula contém distorções perceptíveis, comuns em imagens sintéticas.",2025-01-27 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MJSTJnwLB1cFw4nv-iWJq32vi0qYEhly7TkhYpQ38sL03rZC,"['Luiz Inácio Lula da Silva', 'Jair Bolsonaro', 'Votação']"
Pesquisas mostram que 82% dos deportados “fizeram o L”.,Estadão,https://www.estadao.com.br/estadao-verifica/pesquisa-voto-deportados-lula-falsa/,Falso,2025-01-31 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRfjDAPrNbKSnREJsvOZOrc2DFbu3exp77o9GosB65o08skb9ib,"['Deportação', 'Pesquisa']"
"Deputados da oposição que espalharam desinformação sobre o Pix, como Nikolas Ferreira (PL-MG), votaram pela taxação das blusinhas",Estadão,https://www.estadao.com.br/estadao-verifica/nikolas-ferreira-taxacao-blusinhas-erika-hilton-enganoso/,Enganoso,2025-01-23 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSumJxFuY3BUph5dQ4OdNv1MincbdTsYDU3NoNyM41YXWZitZHs,"['Nikolas Ferreira', 'Taxa', 'Deputado', 'Partido Liberal', 'PIX', 'Minas Gerais', 'Oposição', 'Desinformação']"
Urnas no Arkansas não permitem voto em Trump,Aos Fatos,https://www.aosfatos.org/noticias/falso-urnas-arkansas-impediram-voto-trump/,falso,2024-11-06 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsEhlv-lUi6hRG0OYfxU9wlhtfzqOwNIle-wIO7bCoFH44R_0j,"['Donald Trump', 'Votação', 'Urna eleitoral']"
Michael Jordan declarou voto em Donald Trump,Aos Fatos,https://www.aosfatos.org/noticias/falso-michael-jordan-declarou-apoio-a-trump/,falso,2024-11-05 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTMicx9SD_AI2odvpTF6SnjSYd26T1In2usSd3he90ErTM7aTqS,"['Michael Jordan', 'Donald Trump', 'Votação']"
Urnas de votação antecipada foram queimadas em estados onde Donald Trump é favorito,Estadão,https://www.estadao.com.br/estadao-verifica/urnas-queimadas-estados-trump-favorito-enganoso/,Enganoso,2024-11-04 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR03ik5Q7JqN2fz9c5V-grAPpVJKz1QbiC6Zq4OYwO7j53gVuxp,"['Donald Trump', 'Urna eleitoral', 'Votação', 'Queimada', 'Voto antecipado']"
Equipamento de votação troca voto de Trump para Kamala em Kentucky,Estadão,https://www.estadao.com.br/estadao-verifica/urna-eletronica-kentucky-troca-voto-kamala-trump-enganoso/,Enganoso,2024-11-04 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQLdh9_Fkwb9x5pGZdvHF0Htxk92_GmvL-RK13AQmjT2IBRzI0Z,"['Votação', 'Kamala Harris', 'Donald Trump', 'Kentucky']"
Vídeo mostra fraude eleitoral nos EUA na qual voto de Trump é transferido para Kamala,Aos Fatos,https://www.aosfatos.org/noticias/falso-voto-para-trump-foi-computado-kamala/,falso,2024-11-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR6VKOUnorZ_7xJhQPIo696jexmwgbUiQiLtpTVkseiAyatYczp,"['Kamala Harris', 'Donald Trump', 'Votação', 'Eleição', 'Estados Unidos', 'Fraude eleitoral', 'Fraude', 'Vídeo']"
